"id","language","bank","card","merchant","merchantPhone","benefit","tAndCLink","from","to","storeLocation","imageUrl"
"SC-24","en","Standard Chatard","""Standard Chartered Visa Credit Card"",""Standard Chartered MasterCard"",""Standard Chartered UnionPay Dual Currency Platinum Credit Card"",""Standard Chartered WorldMiles Card (formerly known as Standard Chartered American Express® Card)""","Fiat Caffé","28084777","""Two complimentary cups of Smoothie upon dine-in spending of HK$500 or above from Monday to Friday""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/dining-western.html","2016-01-01","2016-12-31","""Shop B1018, B1, Miramar Shopping Centre, No. 132 Nathan Road,  Tsim Sha Tsui , Kowloon""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers/images/logo/dining-western/fiat-caffe.gif"
"SC-25","en","Standard Chatard","""Standard Chartered Visa Credit Card"",""Standard Chartered MasterCard"",""Standard Chartered UnionPay Dual Currency Platinum Credit Card"",""Standard Chartered WorldMiles Card (formerly known as Standard Chartered American Express® Card)""","Bloom","28106166","""10% off Food & Beverage bills over HK$ 1,000 (before service charge)"",""Complimentary free flow drinks package for brunch reservations on Saturdays for 2 diners or more.""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/dining-western.html","2016-01-01","2016-12-31","""5/F LKF Tower, 33 Wyndham Street, Central""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/images/16-bloom.jpg"
"SC-26","en","Standard Chatard","""Standard Chartered Visa Credit Card"",""Standard Chartered MasterCard"",""Standard Chartered UnionPay Dual Currency Platinum Credit Card"",""Standard Chartered WorldMiles Card (formerly known as Standard Chartered American Express® Card)""","The Excelsior, Hong Kong - Cammino","28376780","""10% off on food items""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/dining-hotel.html","2016-01-01","2016-12-31","""1/F, The Excelsior, Hong Kong, 281 Gloucester Road, Causeway Bay, Hong Kong""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/images/070-the-excelsior-hong-kong.jpg"
"SC-27","en","Standard Chatard","""Standard Chartered Visa Credit Card"",""Standard Chartered MasterCard"",""Standard Chartered UnionPay Dual Currency Platinum Credit Card"",""Standard Chartered WorldMiles Card (formerly known as Standard Chartered American Express® Card)""","The Excelsior, Hong Kong - Café on the 1st","28376781","""10% off on food items""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/dining-hotel.html","2016-01-01","2016-12-31","""1/F, The Excelsior, Hong Kong, 281 Gloucester Road, Causeway Bay, Hong Kong""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/images/067-the-excelsior-hong-kong.jpg"
"SC-28","en","Standard Chatard","""Standard Chartered Visa Credit Card"",""Standard Chartered MasterCard"",""Standard Chartered UnionPay Dual Currency Platinum Credit Card"",""Standard Chartered WorldMiles Card (formerly known as Standard Chartered American Express® Card)""","The Excelsior, Hong Kong - Dickens Bar","28376782","""10% off on food items""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/dining-hotel.html","2016-01-01","2016-12-31","""LG/F, The Excelsior, Hong Kong, 281 Gloucester Road, Causeway Bay, Hong Kong""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/images/068-the-excelsior-hong-kong.jpg"
"SC-29","en","Standard Chatard","""Standard Chartered Visa Credit Card"",""Standard Chartered MasterCard"",""Standard Chartered UnionPay Dual Currency Platinum Credit Card"",""Standard Chartered WorldMiles Card (formerly known as Standard Chartered American Express® Card)""","The Excelsior, Hong Kong - ToTT's and Roof Terrace","28376786","""10% off on food items""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/dining-hotel.html","2016-01-01","2016-12-31","""34/F, The Excelsior, Hong Kong, 281 Gloucester Road, Causeway Bay, Hong Kong""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/images/071-the-excelsior-hong-kong.jpg"
"SC-30","en","Standard Chatard","""Standard Chartered Visa Credit Card"",""Standard Chartered MasterCard"",""Standard Chartered UnionPay Dual Currency Platinum Credit Card"",""Standard Chartered WorldMiles Card (formerly known as Standard Chartered American Express® Card)""","The Excelsior, Hong Kong - Yee Tung Heen","28376790","""10% off on food items""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/dining-hotel.html","2016-01-01","2016-12-31","""2/F, The Excelsior, Hong Kong, 281 Gloucester Road, Causeway Bay, Hong Kong""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/images/069-the-excelsior-hong-kong.jpg"
"SC-31","en","Standard Chatard","""Standard Chartered Visa Credit Card"",""Standard Chartered MasterCard"",""Standard Chartered UnionPay Dual Currency Platinum Credit Card"",""Standard Chartered WorldMiles Card (formerly known as Standard Chartered American Express® Card)""","Ice Cream Gallery","28388086","""Buy 3-Get-1 Free scoop (regular flavour ice-cream)"",""15% off on ice cream and dessert making class""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/dining-others.html","2016-01-01","2016-12-31","""Room 611, 6/F, Shing Yip Industrial Building, 19 Shing Yip Street, Kwun Tong, Kowloon""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/images/040-ice-cream-gallery.jpg"
"SC-32","en","Standard Chatard","""Standard Chartered Visa Credit Card"",""Standard Chartered MasterCard"",""Standard Chartered UnionPay Dual Currency Platinum Credit Card"",""Standard Chartered WorldMiles Card (formerly known as Standard Chartered American Express® Card)""","Urawa Japanese Restaurant","28508226","""10% off on à la carte dinner menu for dine-in from Sunday to Thursday""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/dining-asian.html","2016-01-01","2016-12-31","""G/F, Tung Hip Commercial Building, 244-252 Des Voeux Road Central, Sheung Wan, Hong Kong""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers/images/logo/dining-japanese/urawa-japanese-restaurant-2.gif"
"SC-33","en","Standard Chatard","""Standard Chartered Visa Credit Card"",""Standard Chartered MasterCard"",""Standard Chartered UnionPay Dual Currency Platinum Credit Card""","Gui Tea (HK) Co. Ltd","28779318","""10% off on regular-priced items upon spending of HK$600 or above""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/dining-others.html","2016-01-01","2016-12-31","""Shop B1019A, Tsim Sha Tsui Miramar Shopping Centre, Tsim Sha Tsui, Kowloon Shop HOK56, Tung Chung Line Concourse, Hong Kong MTR Station, Hong Kong Shop KOT17, Kowloon Tong MTR Station Concourse, Kowloon""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers/images/logo/dining-others/gui-tea-hk.gif"
