"id","language","bank","card","merchant","merchantPhone","benefit","tAndCLink","from","to","storeLocation","imageUrl"
"DBS-15","zh_TW","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS 白金信用卡"",""COMPASS VISA 及 CV+"",""其他 DBS 信用卡""","Craftsteak Open Fire Cooking","25239500","""自選菜式9折""","http://www.dbs.com.hk/personal-zh/promotion/craftsteakopenfirecooking-zh","2016-01-01","2016-12-31","""中環蘇豪伊利近街29號地下""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-craftsteakopenfirecooking-zh.jpg"
"DBS-36","zh_TW","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS 白金信用卡"",""COMPASS VISA 及 CV+"",""其他 DBS 信用卡""","姬子小廚","29896028","""星期一至五晚市堂食9折""","http://www.dbs.com.hk/personal-zh/promotion/dynastiekitchen-zh","2016-01-01","2016-12-31","""薄扶林數碼港100號數碼港商場110號舖""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-dynastiekitchen-zh.jpg"
"DBS-20","zh_TW","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS 白金信用卡"",""COMPASS VISA 及 CV+"",""其他 DBS 信用卡""","霸王山莊","27231003","""指定晚市套餐7折""","http://www.dbs.com.hk/personal-zh/promotion/kingslodge-zh","2016-01-01","2016-12-31","""尖沙咀漆咸道南67-71號安年大廈地下""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-kingslodge-zh.jpg"
"DBS-35","zh_TW","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS 白金信用卡"",""COMPASS VISA 及 CV+"",""其他 DBS 信用卡""","Bombay Dreams Indian","29710001","""自選菜式9折""","http://www.dbs.com.hk/personal-zh/promotion/bombaydreamsindian-zh","2016-01-01","2016-12-31","""中環雲咸街77號嘉兆商業大廈4樓""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-bombaydreamsindian-zh.jpg"
"DBS-42","zh_TW","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS 白金信用卡"",""COMPASS VISA 及 CV+""","紅酒村","34269988","""正價餐酒2瓶9折""","http://www.dbs.com.hk/personal-zh/promotion/redwinevillage-zh","2016-01-01","2016-12-31","""北角英皇道560號健威坊UG23號舖""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-redwinevillage-zh.jpg"
"DBS-33","zh_TW","DBS","""DBS Black World MasterCard®"",""DBS Eminent Card"",""DBS 白金信用卡"",""COMPASS VISA 及 CV+"",""其他 DBS 信用卡""","鴻福堂","29202206","""惠顧解毒除濕藥製龜苓膏套票或清熱解毒靈芝龜苓膏套票1套(10張)，可免費獲贈同款龜苓膏乙盅""","http://www.dbs.com.hk/personal-zh/promotion/HungFookTong-zh","2016-01-01","2016-12-31","""全線分店""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-HungFookTong-zh.jpg"
"DBS-37","zh_TW","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS 白金信用卡"",""COMPASS VISA 及 CV+"",""其他 DBS 信用卡""","姬子上海餐館","29896120","""星期一至五晚市堂食9折""","http://www.dbs.com.hk/personal-zh/promotion/dynastieshanghai-zh","2016-01-01","2016-12-31","""薄扶林數碼港100號數碼港商場304號舖""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-dynastieshanghai-zh.jpg"
"DBS-29","zh_TW","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS 白金信用卡"",""COMPASS VISA 及 CV+"",""其他 DBS 信用卡""","美珍香","28156969","""惠顧正價肉類貨品可享9折""","http://www.dbs.com.hk/personal-zh/promotion/beechenghiang-zh","2016-01-01","2016-12-31","""全線分店""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-beechenghiang-zh.jpg"
"DBS-38","zh_TW","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS 白金信用卡"",""COMPASS VISA 及 CV+"",""其他 DBS 信用卡""","紅酒館","31153833","""正價貨品9折""","http://www.dbs.com.hk/personal-zh/promotion/goodwinecellar-zh","2016-01-01","2016-12-31","""土瓜灣北帝街21-25號地下A舖""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-goodwinecellar-zh.jpg"
"DBS-34","zh_TW","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS 白金信用卡"",""COMPASS VISA 及 CV+"",""其他 DBS 信用卡""","Jebsen Fine Wines","29262312","""Jebsen Fine Wines 網上商店85折""","http://www.dbs.com.hk/personal-zh/promotion/jebsenfinewines-zh","2016-01-01","2016-12-31","""www.jebsenfinewines.com""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-jebsenfinewines-zh.jpg"
