"id","language","bank","card","merchant","merchantPhone","benefit","tAndCLink","from","to","storeLocation","imageUrl"
"AM-0167595","en","American Express","""American Express Card""","Tokio Joe","25251889","""A complimentary draft beer for spending of HK$300 or above (Sunday to Thursday after 9pm)""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&issuerName=hk_prop#&offerId=OF-0167595","2016-01-02","2016-06-30","""16 Lan Kwai Fong, Central ""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage&file=00Pa000000jF0m3EAC&file=00Pa000000jF0m3EAC"
"AM-0167856","en","American Express","""American Express Card""","TORO Steak House & Gastro Bar","26969608","""10% savings on à la carte food and beverages menu""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&issuerName=hk_prop#&offerId=OF-0167856","2016-01-01","2016-06-30","""Shop R008, 3/F, Elements, 1 Austin Road West, Tsim Sha Tsui""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage%3Ffile%3D00Pa000000bPRcjEAG&file=00Pa000000bPRcjEAG"
"AM-0168021","en","American Express","""American Express Card""","ToTT's and Roof Terrace - The Excelsior, Hong Kong","28376786","""15% savings on à la carte food menu""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&issuerName=hk_prop#&offerId=OF-0168021","2016-01-01","2016-06-30","""34/F, 281 Gloucester Road, Causeway Bay""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage%3Ffile%3D00Pa000000bPXgrEAG&file=00Pa000000bPXgrEAG"
"AM-0167848","en","American Express","""American Express Card""","Two MacDonnell Road Coffee Shop","21322688","""15% savings on à la carte food and beverages menu (valid for lunch, afternoon tea and dinner)""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&issuerName=hk_prop#&offerId=OF-0167848","2016-01-01","2016-06-30","""8/F, 2 MacDonnell Road, Central""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage%3Ffile%3D00Pa000000bPReGEAW&file=00Pa000000bPReGEAW"
"AM-0167282","en","American Express","""American Express Card""","Tycoon Tann","31253228","""10% savings on à la carte food and drink menu""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&issuerName=hk_prop#&offerId=OF-0167282","2016-01-02","2016-06-30","""G-2/F, Ming Fat Building, 74 Wellington Street, Central ""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage&file=00Pa000000iSWaZEAW&file=00Pa000000iSWaZEAW"
"AM-0168000","en","American Express","""American Express Card""","Vi - Regal Riverside Hotel","21321151","""15% savings on à la carte food menu (valid from Sunday to Thursday)"",""10% savings on à la carte food menu (valid from Friday to Saturday)""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&issuerName=hk_prop#&offerId=OF-0168000","2016-01-01","2016-06-30","""G/F, 34-36 Tai Chung Kiu Road, Shatin""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage%3Ffile%3D00Pa000000bPXftEAG&file=00Pa000000bPXftEAG"
"AM-0168023","en","American Express","""American Express Card""","Yee Tung Heen - The Excelsior, Hong Kong","28376790","""15% savings on à la carte food menu""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&issuerName=hk_prop#&offerId=OF-0168023","2016-01-01","2016-06-30","""2/F, 281 Gloucester Road, Causeway Bay""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage%3Ffile%3D00Pa000000bPXgrEAG&file=00Pa000000bPXgrEAG"
"AM-0167980","en","American Express","""American Express Card""","YUÈ - City Garden Hotel","28064918","""10% savings on à la carte food and beverages menu for lunch"",""15% savings on à la carte food and beverages menu for dinner""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&issuerName=hk_prop#&offerId=OF-0167980","2016-01-01","2016-06-30","""1/F, 9 City Garden Road, North Point""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage%3Ffile%3D00Pa000000bPXhpEAG&file=00Pa000000bPXhpEAG"
"AM-0167599","en","American Express","""American Express Card""","Zentral","21118110","""A complimentary draft beer for spending of HK$300 or above (Sunday to Thursday after 9pm)""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&issuerName=hk_prop#&offerId=OF-0167599","2016-01-02","2016-06-30","""4-5/F, California Tower,32 D' Aguilar Street, Central""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage&file=00Pa000000jF0ziEAC&file=00Pa000000jF0ziEAC"
"AM-0167283","en","American Express","""American Express Card""","Zinc","28683448","""10% savings on à la carte food and drink menu""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&issuerName=hk_prop#&offerId=OF-0167283","2016-01-02","2016-06-30","""G/F, 35 D'Aguilar Street, Lan Kwai Fong,Central""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage&file=00Pa000000iSWclEAG&file=00Pa000000iSWclEAG"
